NTDLL dump: 
NtAllocateReserveObject address: 0x775eca00
NtAllocateUserPhysicalPages address: 0x775eca10
NtAllocateUuids address: 0x775eca20
NtAllocateVirtualMemory address: 0x775ec470
NtAlpcAcceptConnectPort address: 0x775eca30
NtAlpcCancelMessage address: 0x775eca40
NtAlpcConnectPort address: 0x775eca50
NtAlpcConnectPortEx address: 0x775eca60
NtAlpcCreatePort address: 0x775eca70
NtAlpcCreatePortSection address: 0x775eca80
NtAlpcCreateResourceReserve address: 0x775eca90
NtAlpcCreateSectionView address: 0x775ecaa0
NtAlpcCreateSecurityContext address: 0x775ecab0
NtAlpcDeletePortSection address: 0x775ecac0
NtAlpcDeleteResourceReserve address: 0x775ecad0
NtAlpcDeleteSectionView address: 0x775ecae0
NtAlpcDeleteSecurityContext address: 0x775ecaf0
NtAlpcDisconnectPort address: 0x775ecb00
NtAlpcImpersonateClientOfPort address: 0x775ecb10
NtAlpcOpenSenderProcess address: 0x775ecb20
NtAlpcOpenSenderThread address: 0x775ecb30
NtAlpcQueryInformation address: 0x775ecb40
NtAlpcQueryInformationMessage address: 0x775ecb50
NtAlpcRevokeSecurityContext address: 0x775ecb60
NtAlpcSendWaitReceivePort address: 0x775ecb70
NtAlpcSetInformation address: 0x775ecb80
NtApphelpCacheControl address: 0x775ec7b0
NtAreMappedFilesTheSame address: 0x775ecb90
NtAssignProcessToJobObject address: 0x775ecba0
NtAssociateWaitCompletionPacket address: 0x775ecbb0
NtCallbackReturn address: 0x775ec340
NtCancelIoFile address: 0x775ec8c0
NtCancelIoFileEx address: 0x775ecbc0
NtCancelSynchronousIoFile address: 0x775ecbd0
NtCancelTimer address: 0x775ec900
NtCancelTimer2 address: 0x775ecbe0
NtCancelWaitCompletionPacket address: 0x775ecbf0
NtClearEvent address: 0x775ec6d0
NtClose address: 0x775ec3e0
NtCloseObjectAuditAlarm address: 0x775ec6a0
NtCommitComplete address: 0x775ecc00
NtCommitEnlistment address: 0x775ecc10
NtCommitTransaction address: 0x775ecc20
NtCompactKeys address: 0x775ecc30
NtCompareTokens address: 0x775ecc40
NtCompleteConnectPort address: 0x775ecc50
NtCompressKey address: 0x775ecc60
NtConnectPort address: 0x775ecc70
NtContinue address: 0x775ec720
NtCreateDebugObject address: 0x775ecc80
NtCreateDirectoryObject address: 0x775ecc90
NtCreateDirectoryObjectEx address: 0x775ecca0
NtCreateEnlistment address: 0x775eccb0
NtCreateEvent address: 0x775ec770
NtCreateEventPair address: 0x775eccc0
NtCreateFile address: 0x775ec840
NtCreateIRTimer address: 0x775eccd0
NtCreateIoCompletion address: 0x775ecce0
NtCreateJobObject address: 0x775eccf0
NtCreateJobSet address: 0x775ecd00
NtCreateKey address: 0x775ec4c0
NtCreateKeyTransacted address: 0x775ecd10
NtCreateKeyedEvent address: 0x775ecd20
NtCreateLowBoxToken address: 0x775ecd30
NtCreateMailslotFile address: 0x775ecd40
NtCreateMutant address: 0x775ecd50
NtCreateNamedPipeFile address: 0x775ecd60
NtCreatePagingFile address: 0x775ecd70
NtCreatePort address: 0x775ecd80
NtCreatePrivateNamespace address: 0x775ecd90
NtCreateProcess address: 0x775ecda0
NtCreateProcessEx address: 0x775ec7c0
NtCreateProfile address: 0x775ecdb0
NtCreateProfileEx address: 0x775ecdc0
NtCreateResourceManager address: 0x775ecdd0
NtCreateSection address: 0x775ec790
NtCreateSemaphore address: 0x775ecde0
NtCreateSymbolicLinkObject address: 0x775ecdf0
NtCreateThread address: 0x775ec7d0
NtCreateThreadEx address: 0x775ece00
NtCreateTimer address: 0x775ece10
NtCreateTimer2 address: 0x775ece20
NtCreateToken address: 0x775ece30
NtCreateTokenEx address: 0x775ece40
NtCreateTransaction address: 0x775ece50
NtCreateTransactionManager address: 0x775ece60
NtCreateUserProcess address: 0x775ece70
NtCreateWaitCompletionPacket address: 0x775ece80
NtCreateWaitablePort address: 0x775ece90
NtCreateWnfStateName address: 0x775ecea0
NtCreateWorkerFactory address: 0x775eceb0
NtCurrentTeb address: 0x776452c0
NtDebugActiveProcess address: 0x775ecec0
NtDebugContinue address: 0x775eced0
NtDelayExecution address: 0x775ec630
NtDeleteAtom address: 0x775ecee0
NtDeleteBootEntry address: 0x775ecef0
NtDeleteDriverEntry address: 0x775ecf00
NtDeleteFile address: 0x775ecf10
NtDeleteKey address: 0x775ecf20
NtDeleteObjectAuditAlarm address: 0x775ecf30
NtDeletePrivateNamespace address: 0x775ecf40
NtDeleteValueKey address: 0x775ecf50
NtDeleteWnfStateData address: 0x775ecf60
NtDeleteWnfStateName address: 0x775ecf70
NtDeviceIoControlFile address: 0x775ec360
NtDisableLastKnownGood address: 0x775ecf80
NtDisplayString address: 0x775ecf90
NtDrawText address: 0x775ecfa0
NtDuplicateObject address: 0x775ec6b0
NtDuplicateToken address: 0x775ec710
NtEnableLastKnownGood address: 0x775ecfb0
NtEnumerateBootEntries address: 0x775ecfc0
NtEnumerateDriverEntries address: 0x775ecfd0
NtEnumerateKey address: 0x775ec610
NtEnumerateSystemEnvironmentValuesEx address: 0x775ecfe0
NtEnumerateTransactionObject address: 0x775ecff0
NtEnumerateValueKey address: 0x775ec420
NtExtendSection address: 0x775ed000
NtFilterBootOption address: 0x775ed010
NtFilterToken address: 0x775ed020
NtFilterTokenEx address: 0x775ed030
NtFindAtom address: 0x775ec430
NtFlushBuffersFile address: 0x775ec7a0
NtFlushBuffersFileEx address: 0x775ed040
NtFlushInstallUILanguage address: 0x775ed050
NtFlushInstructionCache address: 0x775ed060
NtFlushKey address: 0x775ed070
NtFlushProcessWriteBuffers address: 0x775ed080
NtFlushVirtualMemory address: 0x775ed090
NtFlushWriteBuffer address: 0x775ed0a0
NtFreeUserPhysicalPages address: 0x775ed0b0
NtFreeVirtualMemory address: 0x775ec4d0
NtFreezeRegistry address: 0x775ed0c0
NtFreezeTransactions address: 0x775ed0d0
NtFsControlFile address: 0x775ec680
NtGetCachedSigningLevel address: 0x775ed0e0
NtGetCompleteWnfStateSubscription address: 0x775ed0f0
NtGetContextThread address: 0x775ed100
NtGetCurrentProcessorNumber address: 0x775ed110
NtGetDevicePowerState address: 0x775ed120
NtGetMUIRegistryInfo address: 0x775ed130
NtGetNextProcess address: 0x775ed140
NtGetNextThread address: 0x775ed150
NtGetNlsSectionPtr address: 0x775ed160
NtGetNotificationResourceManager address: 0x775ed170
NtGetTickCount address: 0x77676970
NtGetWriteWatch address: 0x775ed180
NtImpersonateAnonymousToken address: 0x775ed190
NtImpersonateClientOfPort address: 0x775ec4e0
NtImpersonateThread address: 0x775ed1a0
NtInitializeNlsFiles address: 0x775ed1b0
NtInitializeRegistry address: 0x775ed1c0
NtInitiatePowerAction address: 0x775ed1d0
NtIsProcessInJob address: 0x775ec7e0
NtIsSystemResumeAutomatic address: 0x775ed1e0
NtIsUILanguageComitted address: 0x775ed1f0
NtListenPort address: 0x775ed200
NtLoadDriver address: 0x775ed210
NtLoadKey address: 0x775ed220
NtLoadKey2 address: 0x775ed230
NtLoadKeyEx address: 0x775ed240
NtLockFile address: 0x775ed250
NtLockProductActivationKeys address: 0x775ed260
NtLockRegistryKey address: 0x775ed270
NtLockVirtualMemory address: 0x775ed280
NtMakePermanentObject address: 0x775ed290
NtMakeTemporaryObject address: 0x775ed2a0
NtMapCMFModule address: 0x775ed2b0
NtMapUserPhysicalPages address: 0x775ed2c0
NtMapUserPhysicalPagesScatter address: 0x775ec320
NtMapViewOfSection address: 0x775ec570
NtModifyBootEntry address: 0x775ed2d0
NtModifyDriverEntry address: 0x775ed2e0
NtNotifyChangeDirectoryFile address: 0x775ed2f0
NtNotifyChangeKey address: 0x775ed300
NtNotifyChangeMultipleKeys address: 0x775ed310
NtNotifyChangeSession address: 0x775ed320
NtOpenDirectoryObject address: 0x775ec870
NtOpenEnlistment address: 0x775ed330
NtOpenEvent address: 0x775ec6f0
NtOpenEventPair address: 0x775ed340
NtOpenFile address: 0x775ec620
NtOpenIoCompletion address: 0x775ed350
NtOpenJobObject address: 0x775ed360
NtOpenKey address: 0x775ec410
NtOpenKeyEx address: 0x775ed370
NtOpenKeyTransacted address: 0x775ed380
NtOpenKeyTransactedEx address: 0x775ed390
NtOpenKeyedEvent address: 0x775ed3a0
NtOpenMutant address: 0x775ed3b0
NtOpenObjectAuditAlarm address: 0x775ed3c0
NtOpenPrivateNamespace address: 0x775ed3d0
NtOpenProcess address: 0x775ec550
NtOpenProcessToken address: 0x775ed3e0
NtOpenProcessTokenEx address: 0x775ec5f0
NtOpenResourceManager address: 0x775ed3f0
NtOpenSection address: 0x775ec660
NtOpenSemaphore address: 0x775ed400
NtOpenSession address: 0x775ed410
NtOpenSymbolicLinkObject address: 0x775ed420
NtOpenThread address: 0x775ed430
NtOpenThreadToken address: 0x775ec530
NtOpenThreadTokenEx address: 0x775ec5e0
NtOpenTimer address: 0x775ed440
NtOpenTransaction address: 0x775ed450
NtOpenTransactionManager address: 0x775ed460
NtPlugPlayControl address: 0x775ed470
NtPowerInformation address: 0x775ec8e0
NtPrePrepareComplete address: 0x775ed480
NtPrePrepareEnlistment address: 0x775ed490
NtPrepareComplete address: 0x775ed4a0
NtPrepareEnlistment address: 0x775ed4b0
NtPrivilegeCheck address: 0x775ed4c0
NtPrivilegeObjectAuditAlarm address: 0x775ed4d0
NtPrivilegedServiceAuditAlarm address: 0x775ed4e0
NtPropagationComplete address: 0x775ed4f0
NtPropagationFailed address: 0x775ed500
NtProtectVirtualMemory address: 0x775ec7f0
NtPulseEvent address: 0x775ed510
NtQueryAttributesFile address: 0x775ec6c0
NtQueryBootEntryOrder address: 0x775ed520
NtQueryBootOptions address: 0x775ed530
NtQueryDebugFilterState address: 0x775ed540
NtQueryDefaultLocale address: 0x775ec440
NtQueryDefaultUILanguage address: 0x775ec730
NtQueryDirectoryFile address: 0x775ec640
NtQueryDirectoryObject address: 0x775ed550
NtQueryDriverEntryOrder address: 0x775ed560
NtQueryEaFile address: 0x775ed570
NtQueryEvent address: 0x775ec850
NtQueryFullAttributesFile address: 0x775ed580
NtQueryInformationAtom address: 0x775ed590
NtQueryInformationEnlistment address: 0x775ed5a0
NtQueryInformationFile address: 0x775ec400
NtQueryInformationJobObject address: 0x775ed5b0
NtQueryInformationPort address: 0x775ed5c0
NtQueryInformationProcess address: 0x775ec480
NtQueryInformationResourceManager address: 0x775ed5d0
NtQueryInformationThread address: 0x775ec540
NtQueryInformationToken address: 0x775ec500
NtQueryInformationTransaction address: 0x775ed5e0
NtQueryInformationTransactionManager address: 0x775ed5f0
NtQueryInformationWorkerFactory address: 0x775ed600
NtQueryInstallUILanguage address: 0x775ed610
NtQueryIntervalProfile address: 0x775ed620
NtQueryIoCompletion address: 0x775ed630
NtQueryKey address: 0x775ec450
NtQueryLicenseValue address: 0x775ed640
NtQueryMultipleValueKey address: 0x775ed650
NtQueryMutant address: 0x775ed660
NtQueryObject address: 0x775ec3f0
NtQueryOpenSubKeys address: 0x775ed670
NtQueryOpenSubKeysEx address: 0x775ed680
NtQueryPerformanceCounter address: 0x775ec600
NtQueryPortInformationProcess address: 0x775ed690
NtQueryQuotaInformationFile address: 0x775ed6a0
NtQuerySection address: 0x775ec800
NtQuerySecurityAttributesToken address: 0x775ed6b0
NtQuerySecurityObject address: 0x775ed6c0
NtQuerySemaphore address: 0x775ed6d0
NtQuerySymbolicLinkObject address: 0x775ed6e0
NtQuerySystemEnvironmentValue address: 0x775ed6f0
NtQuerySystemEnvironmentValueEx address: 0x775ed700
NtQuerySystemInformation address: 0x775ec650
NtQuerySystemInformationEx address: 0x775ed710
NtQuerySystemTime address: 0x775ec890
NtQueryTimer address: 0x775ec670
NtQueryTimerResolution address: 0x775ed720
NtQueryValueKey address: 0x775ec460
NtQueryVirtualMemory address: 0x775ec520
NtQueryVolumeInformationFile address: 0x775ec780
NtQueryWnfStateData address: 0x775ed730
NtQueryWnfStateNameInformation address: 0x775ed740
NtQueueApcThread address: 0x775ec740
NtQueueApcThreadEx address: 0x775ed750
NtRaiseException address: 0x775ed760
NtRaiseHardError address: 0x775ed770
NtReadFile address: 0x775ec350
NtReadFileScatter address: 0x775ec5d0
NtReadOnlyEnlistment address: 0x775ed780
NtReadRequestData address: 0x775ec830
NtReadVirtualMemory address: 0x775ec6e0
NtRecoverEnlistment address: 0x775ed790
NtRecoverResourceManager address: 0x775ed7a0
NtRecoverTransactionManager address: 0x775ed7b0
NtRegisterProtocolAddressInformation address: 0x775ed7c0
NtRegisterThreadTerminatePort address: 0x775ed7d0
NtReleaseKeyedEvent address: 0x775ed7e0
NtReleaseMutant address: 0x775ec4f0
NtReleaseSemaphore address: 0x775ec390
NtReleaseWorkerFactoryWorker address: 0x775ed7f0
NtRemoveIoCompletion address: 0x775ec380
NtRemoveIoCompletionEx address: 0x775ed800
NtRemoveProcessDebug address: 0x775ed810
NtRenameKey address: 0x775ed820
NtRenameTransactionManager address: 0x775ed830
NtReplaceKey address: 0x775ed840
NtReplacePartitionUnit address: 0x775ed850
NtReplyPort address: 0x775ec3b0
NtReplyWaitReceivePort address: 0x775ec3a0
NtReplyWaitReceivePortEx address: 0x775ec5a0
NtReplyWaitReplyPort address: 0x775ed860
NtRequestPort address: 0x775ed870
NtRequestWaitReplyPort address: 0x775ec510
NtResetEvent address: 0x775ed880
NtResetWriteWatch address: 0x775ed890
NtRestoreKey address: 0x775ed8a0
NtResumeProcess address: 0x775ed8b0
NtResumeThread address: 0x775ec810
NtRollbackComplete address: 0x775ed8c0
NtRollbackEnlistment address: 0x775ed8d0
NtRollbackTransaction address: 0x775ed8e0
NtRollforwardTransactionManager address: 0x775ed8f0
NtSaveKey address: 0x775ed900
NtSaveKeyEx address: 0x775ed910
NtSaveMergedKeys address: 0x775ed920
NtSecureConnectPort address: 0x775ed930
NtSerializeBoot address: 0x775ed940
NtSetBootEntryOrder address: 0x775ed950
NtSetBootOptions address: 0x775ed960
NtSetCachedSigningLevel address: 0x775ed970
NtSetContextThread address: 0x775ed980
NtSetDebugFilterState address: 0x775ed990
